sno,claim,url,claim_entered,sourced_bills,stella_en_1.5B_v5_cossim,stella_en_400M_v5_cossim,gte-Qwen2-1.5B-instruct_cossim,gte-large-en-v1.5_cossim,stella_en_1.5B_v5_dotscore,stella_en_400M_v5_dotscore,gte-Qwen2-1.5B-instruct_dotscore,gte-large-en-v1.5_dotscore,part1_claim,part1_agent,part1_issue
24,"Says ""Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on PennsylvaniaÂ streets, to prey all over this country.""",https://www.politifact.com/factchecks/2018/oct/31/donald-trump/donald-trumps-wild-number-sanctuary-city-criminal-/,"Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on Pennsylvania streets, to prey all over this country","['115 HR 1236', '115 S 303']",no_bills,no_bills,-,-,no_bills,no_bills,-,-,"Bob Casey voted in favor of deadly sanctuary cities that released thousands upon thousands of illegal alien criminals and vicious gang members to prey on Pennsylvania streets, to prey all over this country",C000228,25@205
25,"""George Holding has voted 13 times to deny Kevin, and the 300,000 people like him in the 2nd Congressional District, coverage"" for their pre-existing conditions.",https://www.politifact.com/factchecks/2018/oct/29/linda-coleman/holding-voted-quite-consistently-healthcare-bills/,"George Holding has voted 13 times to deny Kevin, and the 300,000 people like him in the 2nd Congressional District, coverage for their pre-existing conditions","['113 HR 45', '113 HR 2009', '113 HCONRES 25', '113 HCONRES 96', '114 HR 596', '114 HCONRES 27', '114 SCONRES 11', '114 HR 3762']",no_bills,no_bills,-,-,no_bills,no_bills,-,-,"George Holding has voted 13 times to deny Kevin, and the 300,000 people like him in the 2nd Congressional District, coverage for their pre-existing conditions",H001065,34@114
26,"Says Beto OâRourke ""voted to shield MS-13 gang members from deportation.""",https://www.politifact.com/factchecks/2018/oct/25/donald-trump/mostly-false-donald-trump-claim-beto-orourke-voted/,Beto O Rourke voted to shield MS-13 gang members from deportation,['115 HR 3697'],-,-,-,-,-,-,-,-,Beto O Rourke voted to shield MS-13 gang members from deportation,no_agent,-
27,"Says Ted Budd ""voted to gut protections for pre-existing conditions â¦ letting insurance companies deny coverage for (necessary) treatment.""",https://www.politifact.com/factchecks/2018/oct/22/kathy-manning/fact-checking-kathy-mannings-ad-ted-budd-and-pre-e/,Ted Budd voted to gut protections for pre-existing conditions letting insurance companies deny coverage for (necessary) treatment,['115 HR 1628'],"['117 HR 1916', '117 HR 239', '117 HRES 950', '117 HR 1868', '117 HRES 1404', '117 HR 1667', '117 HR 5376', '117 HRES 1396', '117 S 610', '117 HRES 1017']","['117 HR 1916', '117 HR 239', '117 HRES 1404', '117 HRES 1396', '117 HR 1667', '117 HRES 1464', '117 HRES 950', '117 HR 3755', '117 HR 8296', '117 HR 1868']",-,-,"['117 HRES 1300', '117 HR 8987', '117 S 5230', '117 HRES 1512', '117 HR 6878', '117 HR 7174', '117 HR 5290', '117 HR 5677', '117 HR 256', '117 HRES 1302']","['117 HR 1916', '117 HR 239', '117 HRES 950', '117 HRES 1300', '117 HRES 1512', '117 HR 6878', '117 S 5230', '117 HR 8987', '117 HR 7174', '117 HRES 1017']",-,-,Ted Budd voted to gut protections for pre-existing conditions letting insurance companies deny coverage for (necessary) treatment,B001305,15@129
28,"Says Dave Brat ""voted against protecting pre-existing conditions.""",https://www.politifact.com/factchecks/2018/oct/11/abigail-spanberger/spanberger-ad-exaggerates-brats-vote-pre-existing-/,Dave Brat voted against protecting pre-existing conditions,['115 HR 1628'],no_bills,no_bills,-,-,no_bills,no_bills,-,-,Dave Brat voted against protecting pre-existing conditions,B001290,24@58
29,"Says Marsha Blackburn ""voted against the Reauthorization of the Violence Against Women Act, which attempts to protect women from domestic violence, stalking, and date rape.""",https://www.politifact.com/factchecks/2018/oct/09/taylor-swift/taylor-swift-marsha-blackburn-voted-against-reauth/,"Marsha Blackburn voted against the Reauthorization of the Violence Against Women Act, which attempts to protect women from domestic violence, stalking, and date rape",['113 S 47'],"['109 HR 3402', '112 HR 4970', '112 HRES 656', '109 HR 972', '111 HRES 103', '109 HCONRES 209', '110 HRES 590', '110 HRES 32', '110 S 3641', '108 HRES 276']","['109 HR 3402', '112 HR 4970', '112 HRES 656', '110 HRES 149', '109 HR 972', '110 HRES 32', '110 S 3641', '111 HRES 109', '108 HR 5107', '111 HRES 103']",-,-,"['110 HRES 1097', '109 HR 3130', '109 HCONRES 209', '109 HRES 219', '110 HR 5349', '110 HRES 590', '110 HRES 663', '110 HRES 464', '111 HRES 454', '110 HRES 119']","['109 HR 3402', '112 HR 4970', '112 HRES 656', '110 HRES 149', '110 S 3641', '110 HR 5349', '109 HR 972', '109 HCONRES 209', '110 HRES 590', '110 HRES 32']",-,-,"Marsha Blackburn voted against the Reauthorization of the Violence Against Women Act, which attempts to protect women from domestic violence, stalking, and date rape",B001243,31@165
30,"Says Bruce Poliquin ""voted to strip 117,000 Mainers of their insurance.""",https://www.politifact.com/factchecks/2018/oct/05/maine-democratic-party/did-bruce-poliquin-vote-strip-117000-people-health/,"Bruce Poliquin voted to strip 117,000 Mainers of their insurance",['115 HR 1628'],no_bills,no_bills,-,-,no_bills,no_bills,-,-,"Bruce Poliquin voted to strip 117,000 Mainers of their insurance",P000611,21@64
31,"Says U.S. Rep. John Faso ""voted for an age tax on seniors.""",https://www.politifact.com/factchecks/2018/oct/03/antonio-delgado/antonio-delgado-misleads-claiming-john-faso-voted-/,U.S. Rep. John Faso voted for an age tax on seniors,['115 HR 1628'],no_bills,no_bills,-,-,no_bills,no_bills,-,-,U.S. Rep. John Faso voted for an age tax on seniors,F000464,30@51
32,"Says JackyÂ Rosen ""voted against stopping criminals from re-entering the United States.""",https://www.politifact.com/factchecks/2018/oct/02/senate-leadership-fund/gop-super-pac-ad-skips-over-jacky-rosens-yes-vote-/,Jacky Rosen voted against stopping criminals from re-entering the United States,['115 HR 3004'],"['117 SJRES 31', '117 SJRES 46', '117 SJRES 35', '117 S 2938', '117 S 4822', '117 S 2747', '117 HR 7108', '117 S 937', '117 HR 6119', '117 S 3436']","['117 SJRES 46', '117 SJRES 31', '117 SJRES 35', '117 S 937', '117 HR 3237', '117 HR 6119', '117 HR 1652', '117 S 2747', '117 S 4822', '117 HR 6617']",-,-,"['117 SCONRES 43', '117 S 5355', '117 SJRES 63', '117 SJRES 38', '117 SJRES 35', '117 SJRES 46', '117 SJRES 60', '117 SJRES 31', '117 SJRES 33', '117 SRES 47']","['117 SCONRES 43', '117 S 5355', '117 SJRES 31', '117 SJRES 35', '117 SJRES 46', '117 HR 3237', '117 HR 6119', '117 HR 1652', '117 SJRES 38', '117 SJRES 63']",-,-,Jacky Rosen voted against stopping criminals from re-entering the United States,R000608,26@79
33,"Says ""Texas U.S. Rep John Culberson voted to let insurance companies charge people 50 and over five times more than younger people.""",https://www.politifact.com/factchecks/2018/sep/24/lizzie-pannill-fletcher/texass-fletcher-tries-hit-culberson-obamacare/,Texas U.S. Rep John Culberson voted to let insurance companies charge people 50 and over five times more than younger people,['115 HR 1628'],"['107 HR 2559', '111 HR 3590', '110 HR 6331', '107 HR 4946', '107 HR 4954', '111 HR 3631', '109 S 467', '109 HCONRES 181', '111 HRES 766', '111 HRES 1098']","['107 HR 2559', '111 HR 3590', '111 HRES 1098', '109 HRES 385', '112 HRES 591', '111 HR 4626', '109 HCONRES 181', '111 HR 3631', '109 S 467', '111 HRES 16']",-,-,"['109 HCONRES 181', '109 HR 3130', '111 HRES 16', '110 HRES 584', '109 HCONRES 210', '109 HRES 219', '110 HRES 464', '111 HCONRES 244', '110 HRES 65', '107 HCONRES 395']","['107 HR 2559', '109 HCONRES 181', '109 HCONRES 210', '107 S 2578', '111 HRES 16', '110 HRES 584', '111 HRES 1098', '111 HR 3590', '112 HJRES 77', '112 HJRES 98']",-,-,Texas U.S. Rep John Culberson voted to let insurance companies charge people 50 and over five times more than younger people,C001048,36@124
34,"Says U.S. Rep. Kyrsten Sinema ""voted to cut ICE.""",https://www.politifact.com/factchecks/2018/sep/21/martha-mcsally/martha-mcsallys-claim-kyrsten-sinema-voted-cut-ice/,U.S. Rep. Kyrsten Sinema voted to cut ICE,"['115 HR 1625', '115 HR 244', '114 HR 2029', '113 HR 83', '113 HR 3547', '115 HRES 990', '115 HRES 990']","['117 SCONRES 43', '117 S 5355', '117 HR 3684', '117 HR 1437', '117 S 1251', '117 HR 1319', '117 HR 5376', '117 S 610', '117 SJRES 46', '117 SJRES 33']","['117 SCONRES 43', '117 S 5355', '117 SJRES 33', '117 S 1301', '117 SJRES 31', '117 HR 1437', '117 SJRES 35', '117 S 610', '117 HR 1319', '117 HR 3684']",-,-,"['117 SCONRES 43', '117 S 5355', '117 SJRES 63', '117 SJRES 38', '117 SJRES 33', '117 SJRES 60', '117 SJRES 35', '117 SJRES 46', '117 SRES 47', '117 SJRES 37']","['117 SCONRES 43', '117 S 5355', '117 S 1301', '117 SJRES 31', '117 SJRES 33', '117 SJRES 35', '117 HR 1437', '117 HR 1319', '117 S 610', '117 HR 3684']",-,-,U.S. Rep. Kyrsten Sinema voted to cut ICE,S001191,31@41
35,"Says she voted to stop a new ""age tax"" under which ""Arizonans age 50 & over could be charged 5 times more for their health care.""",https://www.politifact.com/factchecks/2018/sep/19/kyrsten-sinema/fact-checking-kyrsten-sinemas-claim-about-age-tax-/,Kyrsten Sinema voted to stop a new age tax under which Arizonans age 50 & over could be charged 5 times more for their health care.,['115 HR 1628'],"['117 HR 5376', '117 SJRES 35', '117 SJRES 31', '117 S 610', '117 S 1301', '117 SJRES 33', '117 HR 1868', '117 SCONRES 43', '117 S 5355', '117 SJRES 29']","['117 S 1301', '117 HR 5376', '117 SJRES 33', '117 S 610', '117 SJRES 35', '117 HR 1868', '117 S 5355', '117 SCONRES 43', '117 SJRES 31', '117 HR 1652']",-,-,"['117 SCONRES 43', '117 S 5355', '117 SJRES 63', '117 SJRES 38', '117 SJRES 35', '117 SJRES 33', '117 SJRES 60', '117 SJRES 39', '117 SJRES 31', '117 SJRES 32']","['117 SCONRES 43', '117 S 5355', '117 S 1301', '117 SJRES 33', '117 SJRES 35', '117 HR 5376', '117 SJRES 31', '117 S 610', '117 HR 1868', '117 HR 6833']",-,-,Kyrsten Sinema voted to stop a new age tax under which Arizonans age 50 & over could be charged 5 times more for their health care.,S001191,21@71
36,"Says Steve Chabot ""voted to strip insurance protections for pre-existing conditions.""",https://www.politifact.com/factchecks/2018/sep/12/aftab-pureval/chabots-votes-contradict-his-health-care-talk/,Steve Chabot voted to strip insurance protections for pre-existing conditions,"['112 HR 2', '112 HR 6079', '114 HR 596']","['104 HR 3103', '112 HRES 219', '107 HRES 297', '110 HRES 594', '104 HRES 392', '105 HRES 509', '112 HR 1213', '107 HRES 219', '112 HRES 724', '104 HR 483']","['112 HRES 219', '105 HRES 509', '104 HRES 392', '112 HR 358', '112 HR 1213', '112 HRES 724', '106 HRES 323', '106 HR 2990', '104 HRES 121', '110 HRES 594']",-,-,"['117 HRES 1300', '117 S 5230', '117 HR 7174', '117 HR 8987', '117 HR 6878', '117 HRES 1512', '109 HCONRES 181', '105 HR 3717', '109 HCONRES 210', '110 HRES 584']","['112 HRES 219', '110 HRES 594', '109 HCONRES 210', '106 HJRES 90', '105 HRES 509', '110 HRES 675', '104 HRES 392', '112 HR 1213', '110 HRES 774', '112 HRES 724']",-,-,Steve Chabot voted to strip insurance protections for pre-existing conditions,C000266,19@77
37,"Says Joe Donnelly ""voted to grant amnesty to millions of illegal immigrants, including criminals, drunk drivers, domestic violence, and worse.""",https://www.politifact.com/factchecks/2018/sep/12/one-nation-pac/immigration-joe-donnelly-amnesty-criminals-indiana/,"Joe Donnelly voted to grant amnesty to millions of illegal immigrants, including criminals, drunk drivers, domestic violence, and worse.",['113 S 744'],-,-,-,-,-,-,-,-,"Joe Donnelly voted to grant amnesty to millions of illegal immigrants, including criminals, drunk drivers, domestic violence, and worse.",-,no_issue
38,"Says Beto OâRourke ""voted against"" Hurricane Harvey ""tax relief.""",https://www.politifact.com/factchecks/2018/aug/29/ted-cruz/ted-cruz-says-beto-orourke-voted-against-tax-relie/,Beto O Rourke voted against Hurricane Harvey tax relief,['115 HR 3823'],-,-,-,-,-,-,-,-,Beto O Rourke voted against Hurricane Harvey tax relief,no_agent,-
39,"Says Kevin Cramer voted to let insurance companies go back to denying coverage for 300,000 North Dakotans with pre-existing conditions.",https://www.politifact.com/factchecks/2018/aug/24/heidi-heitkamp/kevin-cramers-votes-pre-existing-conditions/,"Kevin Cramer voted to let insurance companies go back to denying coverage for 300,000 North Dakotans with pre-existing conditions","['115 HR 1628', '114 HR 3762', '114 HCONRES 27']","['117 SJRES 32', '117 SJRES 41', '117 SJRES 29', '117 HR 1868', '117 SJRES 39', '117 HR 5376', '117 S 2938', '117 S 4', '117 S 610', '117 SJRES 38']","['117 SJRES 32', '117 SJRES 29', '117 HR 1868', '117 SJRES 39', '117 HR 3755', '117 S 4', '117 SJRES 38', '117 SJRES 63', '117 SJRES 41', '117 S 4132']",-,-,"['117 SCONRES 43', '117 S 5355', '117 SJRES 63', '117 SJRES 38', '117 SJRES 60', '117 SJRES 32', '117 SJRES 39', '117 SJRES 29', '117 SJRES 33', '117 SJRES 41']","['117 SCONRES 43', '117 S 5355', '117 SJRES 32', '117 SJRES 63', '117 SJRES 38', '117 SJRES 29', '117 HR 1868', '117 SJRES 39', '117 SJRES 41', '117 S 1301']",-,-,"Kevin Cramer voted to let insurance companies go back to denying coverage for 300,000 North Dakotans with pre-existing conditions",C001096,19@129
40,"""President Trump proposed the increase to $700 billion to our military budget, which included the 355-ship Navy, which included a military pay increase, a modest one, which included, a yet even more modest housing allowance, but yet (Sen. Tim Kaine) even voted against giving more money to our men and women who are in the military service and against our housing allowance.""",https://www.politifact.com/factchecks/2018/jul/25/corey-stewart/stewart-mark-repeated-attacks-kaines-support-milit/,Sen. Tim Kaine even voted against giving more money to our men and women who are in the military service and against our housing allowance,['115 HR 1625'],"['117 S 1301', '117 HR 4350', '117 SJRES 33', '117 S 3373', '117 HR 3967', '117 SJRES 31', '117 SJRES 35', '117 HR 335', '117 HR 3237', '117 SCONRES 14']","['117 SJRES 33', '117 S 1301', '117 S 3373', '117 HR 3967', '117 HR 4350', '117 SJRES 35', '117 SJRES 31', '117 HR 3237', '117 HR 6617', '117 HR 6119']",-,-,"['117 SCONRES 43', '117 S 5355', '117 SJRES 33', '117 SJRES 38', '117 SJRES 63', '117 SJRES 35', '117 S 1301', '117 HR 7691', '117 HR 335', '117 SJRES 31']","['117 S 1301', '117 SJRES 33', '117 SJRES 35', '117 HR 3967', '117 S 3373', '117 SJRES 31', '117 SCONRES 43', '117 S 5355', '117 HR 3237', '117 HR 4350']",-,-,Sen. Tim Kaine even voted against giving more money to our men and women who are in the military service and against our housing allowance,K000384,34@104
41,"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",https://www.politifact.com/factchecks/2018/jun/29/adam-putnam/putnam-parrots-previous-absurd-claim-food-stamps-i/,Ron DeSantis voted in an agricultural bill to give food stamps to illegal immigrants,"['113 HR 2642', '113 HR 1947']",no_bills,no_bills,-,-,no_bills,no_bills,-,-,Ron DeSantis voted in an agricultural bill to give food stamps to illegal immigrants,D000621,22@84
42,"Says Bill Nelson voted for ""cuts to Medicare providers"" and voted to weaken ""Social Security protections"" as a U.S. senator.",https://www.politifact.com/factchecks/2018/jun/15/new-republican-pac/republican-pac-misleads-ad-about-sen-bill-nelsons-/,Bill Nelson voted for cuts to Medicare providers and voted to weaken Social Security protections as a U.S. senator,['113 HJRES 59'],"['110 S 3101', '110 HR 6331', '108 HR 1', '108 S 1', '111 SJRES 39', '111 S 1776', '107 S 1052', '111 HR 3590', '110 S 3', '111 HR 4872']","['110 S 3101', '110 HR 6331', '111 SJRES 39', '108 S 1', '108 HR 1', '107 S 1052', '111 HR 4872', '111 S 1776', '110 S 3', '112 S 1931']",-,-,"['112 HJRES 98', '112 SJRES 25', '101 HRES 368', '101 HRES 442', '101 HRES 408', '101 HRES 388', '110 S 3', '101 HRES 433', '101 HRES 487', '109 HJRES 72']","['110 S 3101', '110 HR 6331', '108 S 1', '108 HR 1', '111 SJRES 39', '111 HR 4872', '107 S 1052', '110 S 3', '111 HR 3590', '111 S 1776']",-,-,Bill Nelson voted for cuts to Medicare providers and voted to weaken Social Security protections as a U.S. senator,N000032,22@48
43,"Says Marsha Blackburn ""voted against military pay raise.""",https://www.politifact.com/factchecks/2018/jun/05/tennessee-democratic-party/tennessee-democrats-slam-blackburn-military-pay-vo/,Marsha Blackburn voted against military pay raise,"['115 HR 5515', '115 HR 2220']","['110 HCONRES 162', '108 HR 4879', '108 HR 3365', '111 HR 2990', '110 HRES 1200', '108 HR 100', '110 HR 6081', '110 HR 3997', '108 HR 1307', '109 HR 2528']","['110 HCONRES 162', '110 HRES 1200', '108 HR 4879', '108 HRES 581', '108 HR 3365', '111 HR 2990', '110 HCONRES 295', '110 HR 3997', '110 HR 6081', '111 HR 1679']",-,-,"['117 S 5355', '117 SCONRES 43', '109 HR 3130', '110 HRES 1200', '110 HRES 663', '110 HCONRES 390', '112 HR 6672', '112 HRES 844', '109 HCONRES 181', '110 HCONRES 162']","['110 HCONRES 162', '110 HRES 1200', '108 HR 4879', '110 HCONRES 390', '110 HRES 663', '111 HRES 861', '108 HRES 581', '111 HR 2990', '108 HR 3365', '110 HCONRES 295']",-,-,Marsha Blackburn voted against military pay raise,B001243,31@49
44,"Rep. Dan Donovan ""voted for Tax Cuts""",https://www.politifact.com/factchecks/2018/jun/04/donald-trump/did-rep-dan-donovan-vote-tax-cuts-trump-said/,Rep. Dan Donovan voted for Tax Cuts,['115 HR 1892'],no_bills,no_bills,-,-,no_bills,no_bills,-,-,Rep. Dan Donovan voted for Tax Cuts,D000625,27@35
45,"""Jim Renacci has been a lobbyist even while in Congress"" and ""voted to make it easier for lobbyists to hold key government positions and harder to investigate conflicts of interest.""",https://www.politifact.com/factchecks/2018/may/31/sherrod-brown/sherrod-brown-misleads-lobbyist-attack-jim-renacci/,Jim Renacci voted to make it easier for lobbyists to hold key government positions and harder to investigate conflicts of interest,"['114 HRES 921', '114 HR 6324', '114 HRES 5']","['112 HRES 383', '112 HRES 718', '112 HRES 491', '112 HRES 129', '112 HRES 375', '112 SCONRES 50', '112 S 2038', '112 HR 292', '112 HCONRES 127', '112 HR 10']","['112 HRES 383', '112 HRES 477', '112 HR 292', '112 HJRES 98', '112 HJRES 77', '112 HR 1059', '112 HRES 491', '112 S 2038', '112 HJRES 37', '112 HR 5912']",-,-,"['112 HRES 516', '112 HJRES 77', '112 HJRES 98', '112 HRES 844', '112 HR 6672', '112 HRES 741', '112 HRES 384', '112 HRES 237', '112 HRES 595', '112 HRES 375']","['112 HRES 383', '112 HJRES 77', '112 HJRES 98', '112 HRES 375', '112 HRES 491', '112 HR 292', '112 HJRES 37', '112 HRES 129', '112 HRES 595', '112 HR 5912']",-,-,Jim Renacci voted to make it easier for lobbyists to hold key government positions and harder to investigate conflicts of interest,R000586,18@130
46,"Says Dean Heller ""has voted for a GOP bill that funded efforts to revive Yucca Mountain.""",https://www.politifact.com/factchecks/2018/may/14/jacky-rosen/rosen-misleads-heller-yucca-mountain-vote/,Dean Heller has voted for a GOP bill that funded efforts to revive Yucca Mountain,"['112 HR 1', '115 S 95']","['110 HRES 780', '112 HRES 219', '110 HRES 66', '110 HRES 846', '110 HRES 1001', '110 HRES 602', '111 HRES 830', '110 HRES 1433', '110 HRES 1084', '111 HRES 587']","['110 HRES 780', '112 HRES 219', '110 HRES 219', '111 HR 762', '110 HR 6532', '112 S 3525', '111 HRES 830', '111 HRES 760', '111 HRES 1327', '110 HRES 1253']",-,-,"['110 HRES 66', '110 HRES 464', '111 HRES 1222', '110 HRES 29', '110 HRES 1097', '110 HRES 1190', '110 HRES 780', '110 HRES 370', '111 HRES 316', '110 HRES 116']","['110 HRES 219', '110 HRES 780', '112 HRES 219', '110 HRES 846', '110 HR 6532', '110 HRES 66', '110 HRES 701', '110 HJRES 69', '110 HRES 229', '110 HRES 1253']",-,-,Dean Heller has voted for a GOP bill that funded efforts to revive Yucca Mountain,H001041,26@81
47,"Says Bill Nelson ""voted against requiring Iran to recognize Israel and release American hostages.""",https://www.politifact.com/factchecks/2018/may/04/rick-scott/gov-rick-scott-attack-mischaracterizes-vote-sen-bi/,Bill Nelson voted against requiring Iran to recognize Israel and release American hostages,['114 HJRES 61'],"['112 SJRES 41', '111 HR 2194', '101 HCONRES 87', '108 SRES 393', '108 HR 1828', '101 HCONRES 290', '101 HJRES 658', '101 HCONRES 382', '108 SCONRES 31', '110 S 470']","['112 SJRES 41', '111 HR 2194', '101 HCONRES 87', '101 HJRES 658', '101 HCONRES 290', '108 SRES 393', '101 HCONRES 382', '108 HR 1828', '108 SCONRES 31', '109 SRES 38']",-,-,"['108 HJRES 97', '101 HCONRES 290', '101 HRES 442', '101 HCONRES 382', '109 HJRES 52', '112 HJRES 98', '112 SJRES 25', '101 HRES 484', '101 HRES 368', '108 SRES 393']","['112 SJRES 41', '101 HCONRES 87', '111 HR 2194', '101 HCONRES 290', '101 HCONRES 382', '108 SRES 393', '101 HJRES 658', '108 HR 1828', '108 HJRES 97', '109 HJRES 52']",-,-,Bill Nelson voted against requiring Iran to recognize Israel and release American hostages,N000032,26@90
48,"Says Luke Messer and Todd Rokita ""voted to fast-track Obamaâs trade deals.""",https://www.politifact.com/factchecks/2018/may/04/mike-braun/indianas-mike-braun-misleads-about-opponents-recor/,Todd Rokita voted to fast-track Obama trade deals,"['114 HR 2146', '114 HR 2146']","['112 HR 3078', '112 HR 2832', '112 HRES 370', '112 HR 3080', '112 HR 3079', '112 HJRES 77', '112 HJRES 98', '112 HRES 741', '112 HR 6156', '112 HRES 425']","['112 HR 2832', '112 HR 3078', '112 HR 3079', '112 HR 3080', '112 HR 6156', '112 HJRES 77', '112 HJRES 98', '112 HRES 741', '112 HRES 708', '112 HRES 425']",-,-,"['112 HRES 844', '112 HR 6672', '112 HJRES 98', '112 HJRES 77', '112 HRES 516', '112 HRES 741', '112 HCONRES 51', '112 HRES 750', '112 HR 6168', '112 HR 1954']","['112 HR 2832', '112 HJRES 77', '112 HJRES 98', '112 HRES 741', '112 HR 3078', '112 HR 3080', '112 HR 3079', '112 HRES 491', '112 HRES 375', '112 HR 6156']",-,-,Todd Rokita voted to fast-track Obama trade deals,R000592,18@49
49,"Says Luke Messer and Todd Rokita ""voted to fast-track Obamaâs trade deals.""",https://www.politifact.com/factchecks/2018/may/04/mike-braun/indianas-mike-braun-misleads-about-opponents-recor/,Luke Messer voted to fast-track Obama trade deals,"['114 HR 2146', '114 HR 2146']",no_bills,no_bills,-,-,no_bills,no_bills,-,-,Luke Messer voted to fast-track Obama trade deals,M001189,18@49
50,"""Congresswoman Martha McSally voted to let companies sell your internet data to the highest bidder without your consent. Then she got paid $42,000 by the very corporations she allowed to sell your personal info.""",https://www.politifact.com/factchecks/2018/apr/11/arizona-democratic-party/arizona-democratic-party-claims-gop-lawmaker-mcsal/,Congresswoman Martha McSally voted to let companies sell your internet data to the highest bidder without your consent,['115 SJRES 34'],no_bills,no_bills,-,-,no_bills,no_bills,-,-,Congresswoman Martha McSally voted to let companies sell your internet data to the highest bidder without your consent,M001197,35@118
51,"Says U.S. Rep. Ron DeSantis ""voted in favor of food stamps for illegal immigrants.""",https://www.politifact.com/factchecks/2018/mar/29/uncle-sams-misguided-children/misleading-attack-ron-desantis-about-farm-bill-foo/,U.S. Rep. Ron DeSantis voted in favor of food stamps for illegal immigrants,['113 HR 2642'],no_bills,no_bills,-,-,no_bills,no_bills,-,-,U.S. Rep. Ron DeSantis voted in favor of food stamps for illegal immigrants,D000621,38@75
52,"""Heitkamp High-Fives Schumer After Voting Against 20-Week Abortion Ban.""",https://www.politifact.com/factchecks/2018/feb/06/say-anything-blog/heitkamp-didnt-high-five-schumer-abortion/,Heitkamp Voted Against 20-Week Abortion Ban,['115 S 2311'],-,-,-,-,-,-,-,-,Heitkamp Voted Against 20-Week Abortion Ban,no_agent,-
