sno,claim,url,claim_entered,sourced_bills,stella_en_1.5B_v5_cossim,stella_en_400M_v5_cossim,gte-Qwen2-1.5B-instruct_cossim,gte-large-en-v1.5_cossim,stella_en_1.5B_v5_dotscore,stella_en_400M_v5_dotscore,gte-Qwen2-1.5B-instruct_dotscore,gte-large-en-v1.5_dotscore,part1_claim,part1_agent,part1_issue
53,"""In Congress, @RonDeSantisFL was the DECIDING vote AGAINST our state's right to protect Florida waters from drilling.""",https://www.politifact.com/factchecks/2018/jan/12/gwen-graham/did-ron-desantis-cast-deciding-vote-against-legisl/,"In Congress, RonDeSantis was the DECIDING vote AGAINST our state's right to protect Florida waters from drilling",['113 HR 2231'],-,-,-,-,-,-,-,-,"In Congress, RonDeSantis was the DECIDING vote AGAINST our state's right to protect Florida waters from drilling",no_agent,-
54,"U.S. Rep. Carlos Curbelo voted for a health care bill that will let insurance companies ""charge five times more for people over 50.""",https://www.politifact.com/factchecks/2017/may/11/save-my-care/gop-health-care-bill-charges-five-times-more-peopl/,Carlos Curbelo voted for a health care bill that will let insurance companies charge five times more for people over 50,['115 HR 1628'],no_bills,no_bills,-,-,no_bills,no_bills,-,-,Carlos Curbelo voted for a health care bill that will let insurance companies charge five times more for people over 50,C001107,25@119
55,"Roy Blunt ""voted to raise his own pay 12 times"" while in Congress.",https://www.politifact.com/factchecks/2016/nov/06/jason-kander/kander-ad-accusing-blunt-voting-raise-his-pay-misl/,Roy Blunt voted to raise his own pay 12 times while in Congress,"['105 S 01023', '105 HR 2378', '106 HR 246', '106 HR 2490', '106 HRES 560', '106 HR 4871', '107 HRES 206', '107 HR 2590', '107 HRES 488', '107 HR 5120', '108 HRES 351', '108 HR 2989', '108 HRES 770', '108 HR 5025', '109 HRES 342', '109 HR 3058', '109 HR 3058', '109 HRES 865', '109 HR 5576', '110 HRES 517', '110 HR 2829', '111 HR 1105', '111 HRES 184', '111 HR 5146', '111 HR 3082']","['110 HCONRES 162', '106 HRES 434', '110 HRES 579', '107 S 2578', '111 HR 4314', '106 HR 3846', '110 HR 2', '105 HRES 99', '110 HRES 203', '112 S 1323']","['112 SJRES 25', '112 HJRES 98', '107 S 2578', '110 HCONRES 162', '111 HR 4314', '112 S 1323', '111 HCONRES 142', '111 HCONRES 288', '110 HCONRES 138', '110 HRES 579']",-,-,"['117 SCONRES 43', '117 S 5355', '111 HRES 403', '109 HCONRES 181', '105 HR 3717', '110 HRES 29', '109 HR 3130', '111 HRES 1222', '109 HCONRES 210', '110 HRES 663']","['107 S 2578', '111 HR 4314', '117 SCONRES 43', '117 S 5355', '112 HJRES 98', '112 SJRES 25', '111 HCONRES 142', '111 HCONRES 288', '110 HCONRES 138', '108 HCONRES 176']",-,-,Roy Blunt voted to raise his own pay 12 times while in Congress,B000575,16@36
56,"Says Donald Trump and Ron Johnson ""oppose a woman's right to choose and Johnson voted against the Violence Against Women Act.""",https://www.politifact.com/factchecks/2016/nov/03/russ-feingold/russ-feingolds-attack-donald-trump-and-ron-johnson/,Johnson voted against the Violence Against Women Act,"['112 S 91', '112 S 91']",no_bills,no_bills,-,-,no_bills,no_bills,-,-,Johnson voted against the Violence Against Women Act,J000176,22@52
57,"""Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people.""",https://www.politifact.com/factchecks/2016/nov/02/deborah-ross/did-richard-burr-vote-protect-tax-breaks-companies/,Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people,"['112 S 3364', '113 S 2569']","['105 HRES 109', '108 HR 1308', '107 HR 1836', '107 HR 3', '107 HRES 83', '107 HRES 320', '107 HRES 521', '106 HRES 564', '107 HR 6', '107 HR 622']","['105 HRES 109', '107 HRES 320', '112 S 3412', '107 HRES 521', '112 HR 3630', '112 HR 8', '107 HR 622', '107 HRES 83', '106 HRES 564', '108 HR 1308']",-,-,"['105 HRES 109', '117 SCONRES 43', '117 S 5355', '105 HR 3717', '107 HRES 141', '107 HRES 104', '107 HRES 111', '107 HRES 83', '108 HCONRES 176', '106 HJRES 127']","['105 HRES 109', '107 HRES 521', '107 HR 1836', '107 HRES 320', '112 S 3412', '105 HR 3717', '112 HR 8', '108 HR 2', '106 HRES 564', '108 HR 1308']",-,-,Richard Burr voted to protect tax breaks for companies that ship jobs overseas but voted against a tax break to help working people,B001135,97@131
58,"""Sen. (Richard) Burr voted no on the Violence Against Women Act.""",https://www.politifact.com/factchecks/2016/oct/18/deborah-ross/nc-senate-race-democrat-deborah-ross-ad-against-go/,Richard Burr voted no on the Violence Against Women Act,"['106 HR 3244', '109 HR 3402', '113 S 47']","['106 HR 1248', '112 S 1925', '106 HR 3244', '107 HR 503', '106 HR 2436', '108 HRES 276', '108 HR 1997', '106 HR 3088', '106 HRES 613', '104 HR 2974']","['112 S 1925', '106 HR 1248', '107 HR 503', '106 HR 2436', '106 HR 3244', '108 HR 1997', '108 HR 5107', '106 HR 3088', '104 HR 2974', '106 HR 4888']",-,-,"['117 SCONRES 43', '117 S 5355', '105 HR 3717', '105 HRES 143', '106 HJRES 127', '104 HRES 119', '107 HRES 311', '104 HRES 125', '105 S 1161', '106 HJRES 126']","['112 S 1925', '106 HR 1248', '105 HR 3717', '106 HCONRES 208', '106 HRES 492', '107 HR 503', '106 HR 3244', '106 HR 2436', '108 HRES 276', '106 HR 4635']",-,-,Richard Burr voted no on the Violence Against Women Act,B001135,22@55
59,"""Kelly Ayotte voted to give big oil more than $20 billion in tax breaks.""",https://www.politifact.com/factchecks/2016/oct/07/democratic-senatorial-campaign-committee/ad-claims-kelly-ayotte-voted-billion-dollar-tax-br/,Kelly Ayotte voted to give big oil more than $20 billion in tax breaks,['112 S 940'],"['112 S 940', '112 S 2204', '112 S 1323', '112 HR 8', '112 S 1931', '112 S 3412', '112 S 2230', '112 S 953', '112 S 2237', '112 HJRES 98']","['112 S 940', '112 S 2204', '112 HR 8', '112 S 1323', '112 S 3412', '112 S 2230', '112 S 1931', '112 S 2237', '112 S 953', '112 S 1944']",-,-,"['112 HJRES 98', '112 SJRES 25', '112 S 940', '112 S 2204', '112 S 2237', '112 S 3364', '112 HCONRES 94', '112 HR 4', '112 S 1323', '112 HCONRES 36']","['112 S 940', '112 S 2204', '112 HR 8', '112 S 3412', '112 S 1323', '112 S 2237', '112 S 2230', '112 S 1931', '112 HJRES 98', '112 SJRES 25']",-,-,Kelly Ayotte voted to give big oil more than $20 billion in tax breaks,A000368,19@70
60,"Says Rep. John Katko ""promised he wouldnât vote to defund Planned Parenthood and since heâs been in office heâs done that four times""",https://www.politifact.com/factchecks/2016/oct/05/colleen-deacon/katko-voted-against-planned-parenthood-funding-fou/,Rep. John Katko promised he wouldn vote to defund Planned Parenthood and since he been in office he done that four times,"['114 HR 3134', '114 HCONRES 79', '114 HR 3762', '114 HR 3762']","['117 HRES 667', '117 HRES 1232', '117 HR 8297', '117 HRES 1224', '117 HRES 795', '117 HR 3755', '117 HR 8296', '117 HR 8373', '117 HRES 1499', '117 HRES 72']","['117 HRES 667', '117 HR 8297', '117 HRES 1232', '117 HR 8296', '117 HR 3755', '117 HR 8373', '117 HR 239', '117 HRES 1224', '117 HRES 1499', '117 HR 256']",-,-,"['117 HRES 1512', '117 HR 7174', '117 HR 8987', '117 S 5230', '117 HR 6878', '117 HRES 1300', '117 HR 256', '117 HR 5290', '117 HRES 72', '117 HRES 795']","['117 HRES 667', '117 HRES 1512', '117 HRES 1300', '117 HR 7174', '117 HR 8987', '117 HR 6878', '117 S 5230', '117 HR 8297', '117 HRES 1232', '117 HR 256']",-,-,Rep. John Katko promised he wouldn vote to defund Planned Parenthood and since he been in office he done that four times,K000386,40@68
61,"Says Rob Portman ""even voted to allow people on the terrorism watch list to buy guns.""",https://www.politifact.com/factchecks/2016/sep/29/ted-strickland/sen-rob-portman-voted-let-terrorists-buy-guns-nope/,Rob Portman even voted to allow people on the terrorism watch list to buy guns,['114 HR 5504'],"['103 HR 1025', '104 HRES 405', '106 HR 2122', '103 HRES 416', '107 HRES 264', '103 HRES 302', '104 HRES 388', '108 HR 1036', '107 HRES 297', '103 HR 4296']","['103 HR 1025', '106 HR 2122', '108 HR 1036', '103 HR 4296', '104 HRES 388', '103 HRES 416', '108 HR 3193', '103 HRES 302', '104 HR 125', '107 HR 3160']",-,-,"['117 SCONRES 43', '117 S 5355', '106 HRES 120', '105 HR 3717', '108 HJRES 97', '104 HRES 405', '105 HRES 179', '103 HJRES 283', '106 HJRES 127', '109 HRES 219']","['104 HRES 388', '103 HR 1025', '103 HRES 416', '106 HR 2122', '103 HRES 302', '103 HR 4296', '108 HR 3193', '108 HR 1036', '107 HRES 264', '104 HRES 405']",-,-,Rob Portman even voted to allow people on the terrorism watch list to buy guns,P000449,23@78
62,"Says Miami Congressman Carlos ""Curbelo supports drilling offshore"" and ""repeatedly voted against President Obama's ability to fight pollution and combat climate change.""",https://www.politifact.com/factchecks/2016/sep/29/democratic-congressional-campaign-committee/democrats-mislead-attack-carlos-curbelos-record-cl/,Miami Congressman Carlos Curbelo supports drilling offshore and repeatedly voted against President Obama's ability to fight pollution and combat climate change,"['114 HR 2028', '114 HR 348', '114 HRES 424', '114 SJRES 23', '114 SJRES 23']",no_bills,no_bills,-,-,no_bills,no_bills,-,-,Miami Congressman Carlos Curbelo supports drilling offshore and repeatedly voted against President Obama's ability to fight pollution and combat climate change,C001107,89@159
63,"Says MarcoÂ Rubio ""voted to slash school funding by billions of dollars and would eliminate the Department of Education.""",https://www.politifact.com/factchecks/2016/sep/27/afscme-people/unions-attack-marco-rubios-education-record/,Marco Rubio voted to slash school funding by billions of dollars and would eliminate the Department of Education,['112 HR 1'],"['117 SJRES 60', '112 S 1723', '112 S 1323', '112 HJRES 98', '112 SJRES 25', '117 S 1301', '112 SCONRES 44', '117 S 2938', '117 SJRES 33', '112 SCONRES 42']","['112 S 1323', '112 S 1723', '112 SJRES 25', '112 HJRES 98', '117 SJRES 60', '117 S 1301', '117 SJRES 33', '112 SCONRES 44', '112 HR 2560', '112 SCONRES 42']",-,-,"['117 SCONRES 43', '117 S 5355', '117 SJRES 60', '112 SJRES 25', '112 HJRES 98', '117 SJRES 63', '117 SJRES 38', '117 SJRES 33', '112 HCONRES 94', '112 HCONRES 36']","['112 HJRES 98', '112 SJRES 25', '117 S 1301', '112 S 1323', '117 S 5355', '117 SCONRES 43', '117 SJRES 60', '117 SJRES 33', '112 S 1723', '112 HR 2560']",-,-,Marco Rubio voted to slash school funding by billions of dollars and would eliminate the Department of Education,R000595,18@64
64,"Says Marco Rubio voted ""against every bill that would have helped keep our families safe. He even voted against a bipartisan measure, introduced by a Republican, to prevent people on the no-fly list from purchasing guns.""",https://www.politifact.com/factchecks/2016/sep/22/patrick-murphy/patrick-murphy-attacks-marco-rubio-votting-against/,Marco Rubio voted against every bill that would have helped keep our families safe,['114 HR 5504'],"['117 S 2938', '117 HR 3237', '117 S 1301', '117 HR 1319', '112 SRES 14', '117 SJRES 31', '117 HR 5305', '117 HR 6617', '112 S 1925', '112 S 1323']","['117 S 2938', '117 HR 3237', '117 S 1301', '117 HR 1319', '112 S 1925', '112 S 1723', '112 S 3525', '117 HR 1652', '112 S 1931', '117 HR 5305']",-,-,"['117 SCONRES 43', '117 S 5355', '117 SJRES 38', '117 SJRES 63', '112 SJRES 25', '112 HJRES 98', '117 SJRES 33', '117 SJRES 35', '112 HCONRES 36', '112 SRES 29']","['117 S 1301', '117 S 2938', '117 HR 3237', '117 S 5355', '117 SCONRES 43', '117 HR 1319', '112 S 1925', '117 SJRES 31', '117 HR 2471', '112 S 3525']",-,-,Marco Rubio voted against every bill that would have helped keep our families safe,R000595,32@82
65,"Says ""Patrick Murphy is the only candidate to have voted against every measure to fund Zika.""",https://www.politifact.com/factchecks/2016/sep/14/marco-rubio/patrick-murphy-has-voted-against-every-zika-fundin/,Patrick Murphy is the only candidate to have voted against every measure to fund Zika,"['114 HR 5044', '114 HRES 751']",no_bills,no_bills,-,-,no_bills,no_bills,-,-,Patrick Murphy is the only candidate to have voted against every measure to fund Zika,M001191,59@85
66,"Nevada Republican Senate nominee ""Joe Heck voted to criminalize abortion for rape victims.""",https://www.politifact.com/factchecks/2016/sep/13/planned-parenthood-votes/planned-parenthood-votes-says-joe-heck-voted-crimi/,Nevada Republican Senate nominee Joe Heck voted to criminalize abortion for rape victims,['112 HR 3803'],"['112 HR 3541', '112 HRES 237', '112 HR 3803', '112 HR 3', '112 HR 358', '112 HRES 430', '112 HR 4970', '112 S 1280', '112 HRES 656', '112 HCONRES 36']","['112 HR 3541', '112 HR 3', '112 HRES 237', '112 HR 3803', '112 HR 358', '112 HRES 430', '112 HR 4970', '112 HRES 656', '112 HCONRES 36', '112 S 1280']",-,-,"['112 HRES 237', '112 HRES 844', '112 HR 6672', '112 HJRES 98', '112 HJRES 77', '112 HRES 430', '112 HRES 522', '112 HRES 516', '112 HRES 219', '112 HRES 384']","['112 HRES 237', '112 HR 3541', '112 HR 3', '112 HR 3803', '112 HRES 430', '112 HR 358', '112 HR 4970', '112 HRES 656', '112 HCONRES 36', '112 HRES 522']",-,-,Nevada Republican Senate nominee Joe Heck voted to criminalize abortion for rape victims,H001055,48@88
67,"""Marco Rubio voted against funding health clinics that provide critical care during this public health emergency (Zika).""",https://www.politifact.com/factchecks/2016/sep/08/naral-pro-choice/naral-misleads-attack-marco-rubio-about-zika-fundi/,Marco Rubio voted against funding health clinics that provide critical care during this public health emergency (Zika),['114 HR 2577'],"['117 HR 1319', '117 HR 1868', '117 HR 5305', '117 HR 3237', '117 HR 6119', '117 HR 6617', '112 HCONRES 35', '117 SJRES 38', '117 SJRES 63', '117 S 2938']","['117 HR 1868', '117 HR 1319', '117 HR 3237', '117 HR 6617', '117 HR 6119', '117 SJRES 38', '117 SJRES 63', '117 HR 5305', '112 HCONRES 35', '117 HR 1652']",-,-,"['117 SCONRES 43', '117 S 5355', '117 SJRES 38', '117 SJRES 63', '112 SJRES 25', '112 HJRES 98', '112 HCONRES 35', '117 SJRES 32', '117 SJRES 39', '112 HCONRES 36']","['117 HR 1319', '117 SJRES 38', '117 SJRES 63', '117 HR 3237', '117 S 5355', '117 SCONRES 43', '117 HR 1868', '117 HR 6617', '117 HR 6119', '112 HCONRES 35']",-,-,Marco Rubio voted against funding health clinics that provide critical care during this public health emergency (Zika),R000595,26@111
68,"Says Hillary Clinton ""voted to raise taxes on workers earning as little as $41,500.""",https://www.politifact.com/factchecks/2016/aug/29/republican-party-florida/republican-party-florida-facebook-post-misses-mark/,"Hillary Clinton voted to raise taxes on workers earning as little as $41,500",['110 SCONRES 70'],"['110 HR 2', '108 HR 2', '107 HR 1836', '108 S 1054', '108 HR 1308', '107 S 2578', '110 HR 5140', '110 HJRES 43', '108 S 1162', '110 HR 3996']","['107 S 2578', '110 HR 2', '108 HR 1308', '108 HR 2', '110 HJRES 43', '108 S 1054', '108 S 1162', '107 HR 1836', '110 HR 5140', '107 HR 622']",-,-,"['110 HR 3996', '110 HJRES 43', '108 HJRES 51', '109 HJRES 72', '108 S 2986', '109 HJRES 47', '107 S 2578', '108 HJRES 97', '110 HR 2', '107 SJRES 4']","['107 S 2578', '110 HR 2', '108 HR 2', '108 HR 1308', '110 HJRES 43', '107 HR 1836', '108 S 1054', '107 HR 622', '110 HR 5140', '108 S 1162']",-,-,"Hillary Clinton voted to raise taxes on workers earning as little as $41,500",C001041,22@76
69,"Says Ron Johnson ""voted five times for tax breaks that help companies ship Wisconsin jobs overseas.""",https://www.politifact.com/factchecks/2016/aug/26/russ-feingold/feingold-johnson-voted-five-times-tax-breaks-help-/,Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas,['114 SCONRES 11'],"['112 S 3364', '112 S 1660', '112 S 2237', '112 HR 3630', '112 S 940', '117 HR 5376', '112 S 1931', '112 S 2204', '112 HR 674', '112 HR 2832']","['112 S 3364', '112 S 1660', '112 S 2237', '112 HR 3630', '112 HR 2832', '112 S 940', '112 S 1931', '112 S 3326', '112 HR 674', '112 S 1769']",-,-,"['117 S 5355', '117 SCONRES 43', '112 S 3364', '112 HJRES 98', '112 SJRES 25', '117 SJRES 63', '117 SJRES 38', '112 S 2237', '117 SJRES 33', '117 SJRES 35']","['112 S 3364', '112 S 2237', '112 S 1660', '112 HR 3630', '112 HR 8', '112 HR 2832', '112 S 940', '112 HR 674', '112 S 3412', '112 S 3326']",-,-,Ron Johnson voted five times for tax breaks that help companies ship Wisconsin jobs overseas,J000293,33@92
70,"Says Marco Rubio ""voted against the bipartisan Violence Against Women Act.""",https://www.politifact.com/factchecks/2016/aug/24/patrick-murphy/rubio-voted-against-violence-against-women-act-mur/,Marco Rubio voted against the bipartisan Violence Against Women Act,"['103 HR 3355', '112 S 1925', '113 S 47']","['112 S 1925', '117 S 2938', '112 S 3220', '117 HR 1652', '117 HR 7', '117 S 937', '117 HR 350', '117 HR 3755', '117 S 4132', '117 HR 4350']","['112 S 1925', '112 S 3220', '117 S 2938', '117 HR 1652', '117 HR 3755', '117 HR 7', '117 S 4132', '117 S 937', '112 S 3525', '117 HR 350']",-,-,"['117 S 5355', '117 SCONRES 43', '117 SJRES 38', '117 SJRES 63', '112 HJRES 98', '112 SJRES 25', '112 S 1925', '112 HCONRES 36', '117 SJRES 33', '117 SJRES 35']","['112 S 1925', '112 S 3220', '117 S 2938', '117 HR 1652', '117 SCONRES 43', '117 S 5355', '117 HR 3755', '117 HR 7', '117 S 4132', '117 S 1301']",-,-,Marco Rubio voted against the bipartisan Violence Against Women Act,R000595,26@67
71,"""Mike Pence voted against expanding the Childrenâs Health Insurance program, which Hillary helped to start.""",https://www.politifact.com/factchecks/2016/aug/08/howard-dean/howard-dean-largely-right-mike-pences-health-polic/,Mike Pence voted against expanding the Children Health Insurance program,"['110 HR 976', '111 HR 2', '111 HR 3590', '111 HR 4872']","['110 HR 3162', '110 HRES 774', '110 HRES 594', '110 HRES 675', '111 HRES 52', '111 HR 2', '110 HR 3963', '110 HR 976', '108 HR 3288', '111 HR 3590']","['110 HRES 675', '110 HRES 774', '110 HR 3162', '111 HRES 52', '111 HR 2', '110 HR 3963', '110 HRES 594', '110 HR 976', '111 HR 3590', '111 HRES 534']",-,-,"['110 HRES 594', '111 HRES 534', '110 HRES 1097', '111 HRES 52', '109 HR 3130', '109 HCONRES 210', '110 HRES 675', '109 HCONRES 181', '110 HRES 774', '107 HCONRES 340']","['110 HRES 675', '110 HRES 774', '110 HRES 594', '111 HRES 52', '110 HR 3162', '110 HR 3963', '111 HR 2', '110 HR 976', '111 HRES 534', '111 HR 3590']",-,-,Mike Pence voted against expanding the Children Health Insurance program,P000587,25@64
72,"Says Debbie Wasserman Schultz ""has voted for huge subsidies for the sugar industry ... as well as for delays in cleanups.""",https://www.politifact.com/factchecks/2016/jul/25/tim-canova/tim-canova-attacks-debbie-wasserman-schultzs-recor/,Debbie Wasserman Schultz has voted for huge subsidies for the sugar industry ... as well as for delays in cleanups,"['114 HR 4793', '114 HR 230']","['112 HR 1633', '111 HCONRES 197', '109 HRES 842', '110 HCONRES 187', '109 S 1932', '112 HR 872', '112 HR 6213', '109 HR 5254', '111 HR 1262', '112 HR 2681']","['110 HCONRES 187', '110 HRES 846', '109 HR 3893', '109 S 1932', '112 HJRES 77', '112 HJRES 98', '112 HR 3409', '111 HRES 1460', '111 S 3473', '109 HR 5254']",-,-,"['117 HRES 1300', '117 HR 7174', '117 HR 8987', '117 HR 6878', '117 HRES 1512', '117 S 5230', '109 HRES 219', '110 HRES 66', '109 HCONRES 210', '109 HR 3130']","['110 HRES 846', '110 HRES 66', '109 HCONRES 210', '109 HRES 842', '112 HJRES 98', '112 HJRES 77', '110 HCONRES 187', '109 S 1932', '111 HRES 1460', '109 HR 3893']",-,-,Debbie Wasserman Schultz has voted for huge subsidies for the sugar industry ... as well as for delays in cleanups,W000797,35@114
73,"Says Sen. John McCain ""told dreamers that heâll support the Dream Act, then he voted against it.""",https://www.politifact.com/factchecks/2016/may/24/ann-kirkpatrick/did-john-mccain-support-dream-act-then-vote-agains/,"Sen. John McCain told dreamers that he support the Dream Act, then he voted against it","['108 S 1545', '109 S 2075']",-,-,-,-,-,-,-,-,"Sen. John McCain told dreamers that he support the Dream Act, then he voted against it",no_agent,-
74,"Kelly Ayotte ""has voted to defund Planned Parenthood"" six times.",https://www.politifact.com/factchecks/2016/apr/29/maggie-hassan/maggie-hassan-says-kelly-ayotte-has-record-voting-/,Kelly Ayotte has voted to defund Planned Parenthood six times,['112 HCONRES 36'],"['112 HCONRES 36', '112 SJRES 25', '112 HJRES 98', '112 HCONRES 35', '112 HJRES 48', '112 SCONRES 44', '112 S 1323', '112 HCONRES 112', '112 SCONRES 37', '112 HCONRES 94']","['112 HCONRES 36', '112 SJRES 25', '112 HJRES 98', '112 HCONRES 35', '112 S 1323', '112 HJRES 48', '112 S 1925', '112 SCONRES 44', '112 S 1931', '112 HJRES 117']",-,-,"['112 HCONRES 36', '112 HJRES 98', '112 SJRES 25', '112 HCONRES 35', '112 HCONRES 94', '112 SJRES 36', '112 SRES 29', '112 HR 2608', '112 S 3369', '112 S 3576']","['112 HCONRES 36', '112 HJRES 98', '112 SJRES 25', '112 HCONRES 35', '112 S 1323', '112 S 1925', '112 HJRES 48', '112 HJRES 117', '112 SJRES 6', '112 SCONRES 44']",-,-,Kelly Ayotte has voted to defund Planned Parenthood six times,A000368,23@51
75,"""Kelly Ayotte has voted four times against the federal Paycheck Fairness Act.""",https://www.politifact.com/factchecks/2016/apr/29/maggie-hassan/maggie-hassan-says-kelly-ayotte-repeatedly-voted-a/,Kelly Ayotte has voted four times against the federal Paycheck Fairness Act,['113 S 2199'],"['112 S 3220', '112 HR 3630', '112 S 1660', '112 S 1931', '112 HR 674', '112 S 2230', '112 S 1789', '112 S 3369', '112 S 1769', '112 S 1723']","['112 S 3220', '112 S 1931', '112 HR 3630', '112 S 2230', '112 S 1660', '112 HR 674', '112 S 1944', '112 S 1723', '112 S 2343', '112 S 1789']",-,-,"['112 SJRES 25', '112 HJRES 98', '112 S 3220', '112 HCONRES 36', '112 SJRES 36', '112 HCONRES 35', '112 S 3369', '112 S 2237', '112 HR 5949', '112 S 1789']","['112 S 3220', '112 HR 3630', '112 S 1931', '112 S 2230', '112 S 1660', '112 HR 674', '112 S 1789', '112 S 2237', '112 HR 8', '112 S 1944']",-,-,Kelly Ayotte has voted four times against the federal Paycheck Fairness Act,A000368,42@75
76,"Says he ""was the only Republican"" to vote against creating a House panel to investigate Planned Parenthood.",https://www.politifact.com/factchecks/2016/apr/26/david-jolly/us-rep-david-jolly-says-he-voted-against-house-pla/,U.S. Rep. David Jolly was the only Republican to vote against creating a House panel to investigate Planned Parenthood,['114 HRES 461'],no_bills,no_bills,-,-,no_bills,no_bills,-,-,U.S. Rep. David Jolly was the only Republican to vote against creating a House panel to investigate Planned Parenthood,J000296,62@118
77,"SaysÂ Bernie Sanders ""voted for what we call the 'Charleston Loophole.'""",https://www.politifact.com/factchecks/2016/jan/18/hillary-clinton/fact-checking-hillary-clintons-claim-bernie-sander/,Bernie Sanders voted for what we call the Charleston Loophole,['103 HR 1025'],"['107 HRES 440', '106 HRES 419', '107 HRES 104', '106 HRES 519', '107 HRES 111', '107 HRES 521', '102 HRES 402', '106 HRES 274', '102 HRES 374', '102 HRES 609']","['106 HCONRES 208', '106 HR 4892', '106 HRES 492', '105 HR 3717', '104 HRES 128', '112 S 940', '106 HRES 519', '107 HRES 440', '107 HRES 435', '107 HRES 111']",-,-,"['117 SCONRES 43', '117 S 5355', '105 HR 3717', '107 HRES 111', '107 HRES 104', '107 HRES 141', '109 HRES 219', '105 HRES 90', '105 HRES 143', '104 HRES 119']","['105 HR 3717', '106 HCONRES 208', '106 HRES 492', '117 SCONRES 43', '117 S 5355', '106 HR 4892', '104 HRES 270', '104 HRES 261', '104 HRES 257', '106 HRES 519']",-,-,Bernie Sanders voted for what we call the Charleston Loophole,S000033,25@61
78,"""Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.""",https://www.politifact.com/factchecks/2016/jan/07/hillary-clinton/hillary-clintons-syrian-air-strikes-claim-against-/,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people,['113 SJRES 21'],"['112 S 3576', '112 SJRES 41', '112 HJRES 98', '112 SJRES 25', '117 SJRES 31', '117 SJRES 35', '117 HR 7108', '112 SRES 159', '117 S 1605', '112 SRES 14']","['112 S 3576', '112 HJRES 98', '112 SJRES 25', '112 SJRES 41', '117 S 3436', '117 SJRES 31', '117 HR 7108', '117 SJRES 35', '112 HR 6156', '117 HR 6968']",-,-,"['117 S 5355', '117 SCONRES 43', '112 SJRES 25', '112 HJRES 98', '117 SJRES 63', '117 SJRES 38', '117 SJRES 35', '112 SJRES 41', '112 S 3576', '117 SJRES 33']","['112 HJRES 98', '112 SJRES 25', '112 S 3576', '117 SJRES 31', '117 SJRES 35', '112 SJRES 41', '117 S 3436', '117 HR 7108', '112 HR 3078', '117 SJRES 38']",-,-,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people,R000595,26@121
